=== Trace for PID 904 ===
Process: mini_httpd

--- Self PID 904 Trace ---
  [000] inode: 41301, pc: 0x00006364, module: mini_httpd
  [001] inode: 32826, pc: 0x00004064, module: libnvram_ioctl.so
  [002] inode: 41301, pc: 0x00006338, module: mini_httpd
  [003] inode: 41301, pc: 0x000062ec, module: mini_httpd
  [004] inode: 49218, pc: 0x0002ffa0, module: libuClibc-0.9.30.so, symbol: strstr
  [005] inode: 41301, pc: 0x000062d4, module: mini_httpd
  [006] inode: 41301, pc: 0x00005f40, module: mini_httpd
  [007] inode: 41301, pc: 0x000062c8, module: mini_httpd
  [008] inode: 41301, pc: 0x00002058, module: mini_httpd
  [009] inode: 41301, pc: 0x00002044, module: mini_httpd
  [010] inode: 41301, pc: 0x00002034, module: mini_httpd
  [011] inode: 41301, pc: 0x00002020, module: mini_httpd
  [012] inode: 41301, pc: 0x00002018, module: mini_httpd
  [013] inode: 41301, pc: 0x00002000, module: mini_httpd
  [014] inode: 41301, pc: 0x00001fe8, module: mini_httpd
  [015] inode: 41301, pc: 0x00001fc0, module: mini_httpd
  [016] inode: 41301, pc: 0x000062bc, module: mini_httpd
  [017] inode: 41301, pc: 0x000061ec, module: mini_httpd
  [018] inode: 49218, pc: 0x0002ff40, module: libuClibc-0.9.30.so, symbol: strspn
  [019] inode: 41301, pc: 0x000061d4, module: mini_httpd
  [020] inode: 41301, pc: 0x000061c8, module: mini_httpd
  [021] inode: 49218, pc: 0x00030730, module: libuClibc-0.9.30.so, symbol: strncasecmp
  [022] inode: 41301, pc: 0x000061b4, module: mini_httpd
  [023] inode: 41301, pc: 0x0000617c, module: mini_httpd
  [024] inode: 49218, pc: 0x00030730, module: libuClibc-0.9.30.so, symbol: strncasecmp
  [025] inode: 41301, pc: 0x00006168, module: mini_httpd
  [026] inode: 41301, pc: 0x00006130, module: mini_httpd
  [027] inode: 49218, pc: 0x00030730, module: libuClibc-0.9.30.so, symbol: strncasecmp
  [028] inode: 41301, pc: 0x0000611c, module: mini_httpd
  [029] inode: 41301, pc: 0x000060d8, module: mini_httpd
